"id","name","parent_id","slug","image","banner","banner1","banner2","row_order","priority","business","status","clicks","by_default"
"1869","Men","0","men","uploads/media/2025/1756803692884-0k8jo3.png","uploads/media/2024/FASHION_NEAR_YOU_(18).png",NULL,NULL,"0",NULL,"Fashion","1","25136","1"
"1870","Women","0","women","uploads/media/2025/1756803727725-1hc73k.png","uploads/media/2024/FASHION_NEAR_YOU_(18)1.png",NULL,NULL,"0",NULL,"Fashion","1","31522","1"
"1871","Topwear","1869","topwear","uploads/media/2025/1758798423559-iq1stp.png","uploads/media/2024/mens-topwear-tshirt1.png",NULL,NULL,"0",NULL,"Fashion","1","308","1"
"1872","Westernwear","1870","westernwear","uploads/media/2025/1758798517415-j509lc.png","uploads/media/2024/women_(43).png",NULL,NULL,"0",NULL,"Fashion","1","262","1"
"1873","Kids","0","kids","uploads/media/2025/1756803755634-w7s1gs.png","uploads/media/2024/FASHION_NEAR_YOU_(18)1.png",NULL,NULL,"0",NULL,"Fashion","1","3286","1"
"1874","Home","0","home","uploads/media/2025/1758800121136-qkwy16.png","uploads/media/2024/home_-_bath_linen_-_bed_runners_(2).png",NULL,NULL,"0",NULL,"Fashion","1","833",NULL
"1876","Boys","1873","boys","uploads/category/23.png","uploads/media/2024/men_topwear_suits1.png",NULL,NULL,"0","0","Fashion","1","16",NULL
"1877","Accessories","1873","girls","uploads/category/89.png","uploads/media/2024/Kids_-_girl_-_dresses_1.png",NULL,NULL,"0","0","Fashion","1","143",NULL
"1879","Bed & Linen","1874","bed-linen","uploads/category/158.png","uploads/media/2024/home_-_bath_linen_-_bed_runners_(3).png",NULL,NULL,"0","0","HOME","1","0",NULL
"1880","Bath","1874","bath","uploads/media/2025/1758379294927-jk42ap.png","uploads/media/2024/home_-_bath_-_towels_sets.png",NULL,NULL,"0",NULL,"HOME","1","0",NULL
"1883","Fragrances","1875","fragrances","uploads/media/2025/1758797556971-v220ed.png","uploads/media/2024/beauty_-_fragrances.png",NULL,NULL,"0",NULL,"BEAUTY","1","19",NULL
"1885","Mens Grooming","1875","mens-grooming","uploads/category/280.png","uploads/media/2024/beauty_-_mens_grooming1.png",NULL,NULL,"0","0","BEAUTY","1","0",NULL
"1886","Health and Wellness Supplements","1875","wellness","uploads/category/301.png","uploads/media/2024/beauty_-_wellness1.png",NULL,NULL,"0","0","BEAUTY","1","0",NULL
"1887","Bottomwear","1869","bottomwear","uploads/media/2025/1758800944288-pc3opc.png","uploads/media/2025/Untitled_design_(3).png",NULL,NULL,"0",NULL,"Fashion","1","0",NULL
"1888","Men Footwear","1869","footwear","uploads/category/32.png","uploads/media/2024/men_footwear_-_formalshoes1.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1889","Festivewear","1869","festivewear","uploads/category/34.png","uploads/media/2024/bottomwear6.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1890","Sportswear","1869","sportswear","uploads/category/33.png","uploads/media/2024/men_-_sport_wear-_active_t_shirt1.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1891","Innerwear","1869","innerwear","uploads/category/35.png","uploads/media/2024/men_-_inner_wear-_brief_trunk1.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1892","Accessories","1869","accessories","uploads/media/2025/1758797845759-jcak0y.png","uploads/media/2024/men_-_accessories_-_wallets1.png",NULL,NULL,"0",NULL,"Fashion","1","0",NULL
"1893","Indianwear","1870","indianwear","uploads/media/2025/1758797657167-lhwxcc.png","uploads/media/2024/women3.png",NULL,NULL,"0",NULL,"Fashion","1","0",NULL
"1894","Footwear","1870","footwear-1","uploads/media/2025/1756374551407-72xxj9.png","uploads/media/2025/1756383184001-9h5g29.png",NULL,NULL,"0",NULL,"Fashion","1","0",NULL
"1895","Sleepwear","1870","sleepwear","uploads/media/2025/1756490634645-bmen4n.png","uploads/media/2025/1756536959719-rgn3qo.png",NULL,NULL,"0",NULL,"Fashion","1","0",NULL
"1896","Sports & Activewear","1870","sports-activewear","uploads/category/416.png","uploads/media/2024/women_(2)1.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1897","Maternity","1870","maternity","uploads/category/379.png","uploads/media/2024/women_(1)1.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1898","Accessories","1870","accessories-1","uploads/media/2025/1758797812601-bktgla.png","uploads/media/2024/women_-_accessories_-_bags_and_wallets1.png",NULL,NULL,"0",NULL,"Fashion","1","0",NULL
"1899","Infants","1873","infants","uploads/category/80.png","uploads/media/2024/Kids_-_infants_-_bodysuit_(9).png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1900","Footwear","1873","footwear-2","uploads/media/2025/1756378228390-635u33.png","uploads/media/2025/1756490315695-gl6qal.png","uploads/media/2025/1756379819200-2s6tcf.png",NULL,"0",NULL,"Fashion","1","0",NULL
"1901","Accessories","1873","accessories-2","uploads/category/125.png","uploads/media/2024/Kids_-_accessories_-_sunglasses2.png",NULL,NULL,"0","0","Fashion","1","0",NULL
"1902","Homedecor","1874","homedecor","uploads/media/2025/1758540481024-3gozk4.png","uploads/media/2024/home_-_home_décor_-_wall_decor_(1).png",NULL,NULL,"0",NULL,"HOME","1","0",NULL
"1903","Flooring","1874","flooring","uploads/media/2025/1758378786206-mvvvss.png","uploads/media/2024/home_-_flooring_-_floor_mats_dhurries4.png",NULL,NULL,"0",NULL,"HOME","1","0",NULL
"1904","Lighting","1874","lighting","uploads/media/2025/1758540516486-1u4gre.png","uploads/media/2024/home_-_lighting_-_outdoor_lamps2.png",NULL,NULL,"0",NULL,"HOME","1","0",NULL
"1905","Kitchen & Dining","1874","kitchen-dining","uploads/media/2025/1758540566735-q531jl.png","uploads/media/2024/home_-_kitchen_dining_-_kitchen_storage_tools5.png",NULL,NULL,"0",NULL,"HOME","1","0",NULL
"1906","Storage","1874","storage","uploads/media/2025/1758378826320-g4akuh.png","uploads/media/2024/home_-_kitchen_dining_-_kitchen_storage_tools_(1)1.png",NULL,NULL,"0",NULL,"HOME","1","0",NULL
"1907","T Shirts","1871","t-shirts","uploads/media/2025/1756381032575-0aqebh.png","uploads/media/2025/1756489307470-qdlugt.png",NULL,NULL,"0",NULL,"Fashion","1","2872",NULL
