id,type1,type2,,cat_id,seller_id,cat1
26,Product,Women Suta,,Women,5203,Sarees
27,Product,Women Drunch,,Women,3544,Sandals
28,Product,Women Plode,,Women,3536,Handbags
29,Product,Men Sassafras,,Men,3972,"Casual Shirts, Co-ord Sets, Bottomwear, Casual Trousers, Shorts"
30,Product,Men 7-10,,Men,,Footwear
31,Product,Men Aticx,,Men,385,Active T Shirts
32,Product,Kids Includ ,,Kids,3545,"T Shirts, Shirts, Shorts, Clothing Sets, Dresses, Skirts & Shorts"
33,Product,Kids Bownbee,,Kids,3543,Ethnicwear
34,Product,Kids Little Marvel,,Kids,3546,Bags & Backpacks
35,Product,Women Accessories,,Women,,"Jewellery & Accessories, Accessories, Handbags, Sandals"
36,Product,Women Innerwear,,Women,,"Briefs & Trunks, Boxers, Bra, Swimwear"
37,Product,Women Loungewear,,Women,,"Dresses, Sleepwear & Loungewear"
38,Product,Men Accessories,,Men,,Accessories
39,Product,Men Innerwear,,Men,,"Briefs & Trunks, Boxers, Socks"
40,Product,Men Flip Flops,,Men,,Footwear
41,Product,Kids Stationary,,Kids,,Bags & Backpacks
42,Product,Kids Slippers & Sandals,,Kids,,"Footwear, Flipflops, Sandals"
43,Product,"Kids Bags, Lunch Boxes & Bottles",,Kids,,Bags & Backpacks
44,Product,Women Quince,,Women,273,"Casual Shirts, Dresses, Co-ords, Handbags"
45,Product,Women Sassafras,,Women,3972,"Casual Shirts, Dresses, Trousers, Shorts & Skirts, Co-ords"
46,Product,Women Burger bae,,Women,3531,"T Shirts, Bottomwear, Accessories, Dresses, Tops, Trousers, Co-ords"
47,Product,Men Wellbi,,Men,5207,T Shirts
48,Product,Men Subtract,,Men,1752,"Casual Shirts, Bottomwear"
49,Product,Men Wakatic,,Men,5201,"Casual Shirts, Boxers"
102,Product,live deals,,Men,,"Briefs & Trunks, Boxers, Footwear, Socks, Active T Shirts, Accessories"
103,Product,live deals,,Men,,"T Shirts, Casual Shirts, Co-ord Sets, Bottomwear, Casual Trousers, Shorts, Briefs & Trunks, Boxers, Kurta & Kurta Sets, Footwear, Socks, Active T Shirts, Accessories"
104,Product,live deals,,Men,,"T Shirts, Casual Shirts, Co-ord Sets, Bottomwear, Casual Trousers, Shorts, Briefs & Trunks, Boxers, Accessories"
105,Product,live deals,,Men,,"Casual Shirts, Co-ord Sets, Bottomwear, Casual Trousers, Shorts, Accessories"
106,Product,live deals,,Women,,"Casual Shirts, Jewellery & Accessories, Dresses, Tops, Trousers, Shorts & Skirts, Co-ords, Kurtas & Suits, Sarees"
107,Product,live deals,,Women,,"Casual Shirts, Jewellery & Accessories, Dresses, Tops, Trousers, Shorts & Skirts, Co-ords, Kurtas & Suits, Sarees, Handbags, Sandals"
109,Product,live deals,,Women,,"Casual Shirts, Jewellery & Accessories, Dresses, Tops, Trousers, Shorts & Skirts, Co-ords, Kurtas & Suits, Sarees, Sleepwear & Loungewear, Handbags, Sandals"
110,Product,live deals,,Women,,"Casual Shirts, Jewellery & Accessories, Dresses, Tops, Trousers, Co-ords, Kurtas & Suits, Sarees, Sleepwear & Loungewear, Handbags, Sandals"
111,Product,live deals,,Kids,,"Jewellery & Accessories, T Shirts, Shorts, Clothing Sets, Dresses, Skirts & Shorts, Flipflops, Sandals, Bags & Backpacks"
112,Product,live deals,,Kids,,"T Shirts, Shirts, Shorts, Clothing Sets, Ethnicwear, Dresses, Skirts & Shorts, Flipflops, Sandals, Bags & Backpacks"
113,Product,live deals,,Kids,,"T Shirts, Shorts, Clothing Sets, Ethnicwear, Dresses, Flipflops, Bags & Backpacks"
114,Product,live deals,,Kids,,"T Shirts, Shorts, Clothing Sets, Ethnicwear, Dresses, Skirts & Shorts, Flipflops, Bags & Backpacks"
126,Product,Suta,,Women,5203,Sarees
127,Product,Includ,,Kids,3545,"T Shirts, Shirts, Shorts, Clothing Sets, Dresses, Skirts & Shorts"
128,Product,Sassafras Men,,Men,3972,"Casual Shirts, Co-ord Sets, Bottomwear, Casual Trousers, Shorts"
129,Product,07-Oct,,Men,,Footwear
131,Product,Plode,,Women,3536,Handbags
132,Product,Bownbee,,Kids,3543,Ethnicwear
133,Product,Aticx,,Men,3539,Active T Shirts
134,Product,Drunch,,Women,3544,Sandals
135,Product,Wellbi,,Men,5207,T Shirts
136,Product,Bummer,,Men,5200,"Briefs & Trunks, Boxers, Socks, Bra, Swimwear"
137,Product,Sassafras Women,,Women,3972,"Casual Shirts, Dresses, Trousers, Shorts & Skirts, Co-ords"
138,Product,Wakatic,,Men,5201,"Casual Shirts, Boxers"
139,Product,The Little Marvels,,Kids,3546,Bags & Backpacks
140,Product,Hrimaan,,Women,3862,"Jewellery & Accessories, Accessories"
141,Product,Better Basics,,Men,3537,"T Shirts, Casual Shirts"
142,Product,Burgerbae,,Women,3531,"T Shirts, Bottomwear, Accessories, Dresses, Tops, Trousers, Co-ords"
143,Product,A Clutch Story,,Women,3534,Handbags
144,Product,Bluejam,,Men,3535,"Bottomwear, Accessories"
171,Outlet,Banjara Outlet,,Home,5118,Mirrors
