id,user_id,slug,category_ids,store_name,business
23,65,kanika-store,"Men, Women, Topwear, Westernwear, Kids",Kanika Store,
30,85,trendy-vibes-1,"Men, Women, Topwear, Westernwear, Kids",Trendy Vibes 11111,
57,268,nazaqatt-1,"Men, Women, Topwear, Westernwear, Kids",Nazaqatt,
58,269,be-stitched-urbana,"Men, Women, Topwear, Westernwear, Kids",Be Stitched Urbana,
59,270,bliss-urbana-1,"Men, Women, Topwear, Westernwear, Kids",Bliss Urbana,
60,271,helo-heels-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Helo Heels Aipl Joystreet,
62,273,the-quince-life-urbana,Women,The Quince Life Urbana,Fashion
63,274,seevan-apparels-urbana-1,Women,Seevan Apparels Urbana,Fashion
64,275,wildcraft-good-earth-1,"Men, Women, Topwear, Westernwear, Kids",Wildcraft Good Earth,
89,306,de-plum-urbana-1,"Men, Women, Topwear, Westernwear, Kids",De Plum Urbana,
122,345,chetna-bagga-1,"Men, Women, Topwear, Westernwear, Kids",Chetna Bagga,
123,346,melangebox,"Men, Women, Topwear, Westernwear, Kids",Melangebox,
124,347,karmadori-1,"Men, Women, Topwear, Westernwear, Kids",Karmadori,
125,348,almo-1,"Men, Women, Topwear, Westernwear, Kids",Almo,
126,349,andamen,"Men, Women, Topwear, Westernwear, Kids",Andamen,
127,351,cilory,"Men, Women, Topwear, Westernwear, Kids",Cilory,
128,354,meena-bazaar,"Men, Women, Topwear, Westernwear, Kids",Meena Bazaar,
207,474,fabindia-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Fabindia Aipl Joystreet,
208,475,red-chief-aipl-joystreet-1,"Men, Women, Topwear, Westernwear, Kids",Red Chief Aipl Joystreet,
209,476,bata-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Bata Aipl Joystreet,
210,477,biba-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Biba Aipl Joystreet,
211,478,levis-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Levis Aipl Joystreet,
212,479,qurbat-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Qurbat Aipl Joystreet,
213,480,carecampanakidscom,"Men, Women, Topwear, Westernwear, Kids",care@campanakids.com,
214,481,silkfab-aipl-joystreet,"Men, Women, Topwear, Westernwear, Kids",Silkfab Aipl Joystreet,
216,483,house-of-luxe-urbana-1,"Men, Women, Topwear, Westernwear, Kids",House of Luxe Urbana,
217,484,d-by-shefali-urbana,Women,D by Shefali Urbana,
218,485,reliance-trends-urbana,"Men, Women, Topwear, Westernwear, Kids",Reliance Trends Urbana,
243,512,trends,"Men, Women, Topwear, Westernwear, Kids",Trends,
251,520,adidas-worldmark-1,"Men, Women, Topwear, Westernwear, Kids",Adidas Worldmark,
252,521,puma-worldmark,"Men, Women, Topwear, Westernwear, Kids",Puma Worldmark,
253,522,christina-worldmark,"Men, Women, Topwear, Westernwear, Kids",Christina Worldmark,
277,550,store-name,"Men, Women, Topwear, Westernwear, Kids",STORE NAME,
278,558,store-name-1,"Men, Women, Topwear, Westernwear, Kids",STORE NAME,
283,565,store-name-2,"Men, Women, Topwear, Westernwear, Kids",STORE NAME,
286,569,store-name-3,"Men, Women, Topwear, Westernwear, Kids",STORE NAME,
287,570,store-name-4,"Men, Women, Topwear, Westernwear, Kids",STORE NAME,
333,827,chunmun-store-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Chunmun Store Lajpat Nagar,
334,828,k-c-creation-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",K C Creation Lajpat Nagar,
335,835,meera-sarees-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Meera Sarees Lajpat Nagar,
336,836,super-art-gallery-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Super Art Gallery Lajpat Nagar,
337,837,guru-nanak-fabrics-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Guru Nanak Fabrics Lajpat Nagar,
338,838,style-shoes-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Style Shoes Lajpat Nagar,
339,840,andaaz-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Andaaz Lajpat Nagar,
340,1147,myfab-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",MYFAB LAJPAT NAGAR,
341,1148,incense-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Incense Lajpat Nagar,
342,1189,ramjisons-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",RamJiSons Lajpat Nagar,
343,1190,nargis-fashion-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Nargis Fashion Lajpat Nagar,
344,1192,sabhyata-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Sabhyata Lajpat Nagar,
345,1223,libas-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Libas Lajpat Nagar,
346,1224,ibadat-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Ibadat Lajpat Nagar,
347,1226,istri-vastra-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Istri Vastra Lajpat Nagar,
348,1227,hastkala-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Hastkala Lajpat Nagar,
349,1228,sona-footwear-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Sona Footwear Lajpat Nagar,
350,1229,stelatoes-lajpat-nagar-1,"Men, Women, Topwear, Westernwear, Kids",Stelatoes Lajpat Nagar,
351,1230,shamina-khan-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Shamina Khan Lajpat Nagar,
352,1231,shubham-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Shubham Lajpat Nagar,
353,1232,kaveri-lajpat-nagar,"Men, Women, Topwear, Westernwear, Kids",Kaveri Lajpat Nagar,
364,1752,subtract,Men,Subtract,
377,2162,rive,"Men, Women, Topwear, Westernwear, Kids",Rive,
378,3411,store-name-5,"Men, Women, Topwear, Westernwear, Kids",STORE NAME,
379,3531,burgerbae-1,"Men, Women",BurgerBae,
380,3534,a-clutch-story-1,Women,A Clutch Story,
381,3535,bluejam-1,Men,BlueJam,
382,3536,plode-1,Women,Plode,
383,3537,better-basics,Men,Better Basics,
385,3539,aticx-1,Men,Aticx,
386,3543,bownbee-1,Kids,Bownbeee,
387,3544,drunch-1,Women,Drunch,
388,3545,includ-1,Kids,Includ,
389,3546,the-little-marvels,Kids,The Little Marvels,Kids
390,3547,shahtut,Women,Shahtut,Fashion
391,3548,simkraftz,Women,Simkraftz,Fashion
392,3667,perfectdate,Women,Perfectdate,Fashion
393,3668,sampada-1,Women,Sampada,
394,3669,supertex-styles,Women,Supertex Styles,
395,3670,folk-culture-1,"Women, Kids",Folk Culture,
